text,category
When going further in sharing data with a business innovator working on an AI-based optimization of the manufacturing process he/she may want to limit the data he/she shares to other parts of the metadata in respect of the same manufacturing process.,data sovereignty
Data sovereignty is about finding a balance between the need for protecting one’s data and the need for sharing one’s data with others. It can be considered a key capability for companies to develop in order to be successful in the data economy.,data sovereignty
Data sovereignty which is one of the main goals of the International Data Spaces materializes in “terms and conditions” that are linked to data before it is exchanged and shared.,data sovereignty
However these terms and conditions (such as time to live forwarding rights pricing information etc.) have not been standardized yet. In order to foster the establishment of data sovereignty in the exchange of data within business ecosystems more standardization activities are needed.,data sovereignty
Define usage constraints for data resources,data sovereignty
Transfer data with usage constraints linked to data,data sovereignty
Authorize Data Provider if Data Provider is not the Data Owner,data sovereignty
As the need for Data Sovereignty is obvious but the term of ownership is not defined for data the term “Data Sovereign” indicates the rights duties and responsibilities for this role.,data sovereignty
Data sovereignty is a natural person’s or corporate entity’s capability of being entirely self-determined with regard to its data.,data sovereignty
a data owner in the International Data Spaces attaches usage restriction information to their data before it is transferred to a data consumer. To use the data the data consumer must fully accept the data owner’s usage policy.,data sovereignty
To find that balance it is important to take a close look at the data itself as not all data requires the same level of protection and as the value contribution of data varies depending on what class or category it can be subsumed under.,data sovereignty
In fact the path toward parameterizing different types of contracts and ascertaining related contractual remedies under a governing law (to be selected) bears a multitude of complexities which need to be further explored.,governing law
Under current law the most notable (yet largely unknown and underestimated) legal instrument available and applied to collections of data is the right of the database maker as provided under the EU Database Directive 96/9/EC and implemented in each EU Member State.6,governing law
The database right protects the investment into the systematical and methodical order of a collection of data in order to prevent extraction and/or re-utilization of the whole or a substantial part of the contents of the database7,governing law
In addition to the tools of usage control and confidentiality agreements however it is important to consider the scope and inherent limitations under the EU Trade Secrets Directive (EU) 2016/943 and its varying implementation into national law of the EU Member States.,governing law
Together with this ambitious claim the EU Commission has presented its EU Data Strategy as a cornerstone to a wider framework of existing and upcoming regulation.26,governing law
The EU Commission has set important milestones for transforming the single market into a digitally enabled market and making the EU “leading in a data-driven society” and empowering “people businesses and organisations ... to make better decisions based on insights from non-personal data which should be available to all” 24 and creating a “data-agile economy.”,governing law
The EU Data Strategy envisions three fundamental objectives namely (1) the free flow of data within the EU and across sectors; (2) full respect of European rules and values including in particular personal data protection consumer protection and competition law; and (3) fair practical and clear rules for fair access and use of data based on trustworthy data governance mechanisms.27,governing law
importance of data spaces as part of the first pillar (1) aiming to “enable a legislative framework of the governance of common European data spaces” 29 as well as providing significant investment and funding in High Impact Projects on European data spaces and federated cloud infrastructures.30,governing law
As part of its data space strategy the EU Commission has identified the following sectors where it intends to create “Common European data spaces”: industrial/ manufacturing Green Deal mobility health financial energy agriculture public administration and skills.33 In other words IDS represents a role model if not a blueprint for these sectors to prepare and develop—in an active dialogue with the relevant stakeholders—the related data space implementations in accordance with the EU Data Strategy.,governing law
The Data Governance Act of May 30 202234 is a pillar in the EU Data Strategy and will be complemented by the European Data Act to foster data sharing among businesses and between business and governments35 and stands next to the Digital Markets Act36 and the Digital Services Act.37 It contains key elements of regulation for operators of data spaces.,governing law
The Data Governance Act accentuates the role and provides notification obligations for providers of data sharing services (“data intermediaries”) in an approach to create a European model for data sharing of personal and non-personal data through “neutral data intermediaries” as an alternative to the current prevalence and market,governing law
From an institutional perspective the Data Governance Act will create a “European Data Innovation Board” consisting of representatives of the Member States the EU Commission and representatives of relevant data spaces and specific sectors (e.g. health agriculture transport and statistics).47,governing law
As for data held by the public sector the Data Governance Act establishes a few key principles: generally public sector bodies shall not enter into exclusive agreements for the re-use of data they hold nor may they restrict the availability of the data for re-use unless (as an exception to the rule) where a data consumer receives exclusive rights for a maximum of 3 years in order to provide a service or product in the general interest and under a national concession issued in accordance with general transparency principles.49,governing law
The Data Governance Act requires data intermediaries to follow a notification procedure in regard to the following types of intermediation services: (1) between data holders (as legal persons) and data consumers both in bilateral or multilateral data exchanges or the creation of platforms or databases that enable the exchange or joint exploitation of data as well as the establishment of a specific infrastructure for the interconnection of data holders and data consumers;,governing law
between data subjects that want to make their personal data available and potential data consumers thereby facilitating the data subjects to exercise their rights under the GDPR; and,governing law
services of data cooperatives particularly in the areas of micro small and mid-size enterprises.52 The concept of notification does not imply an approval by the authorities53 but rather provides a mechanism to determine certain conditions for data intermediary services (before commencing their activity)54 and to establish a supervisory control over an intermediary’s compliance with such conditions55 which can impose “dissuasive financial penalties” (to be further defined by the Member States) if need be.56,governing law
While the following explanations stand against the background of German law (and hence need to bear in mind that underlying statutory law can impact the formation and interpretation of contracts) they are to a considerable degree generic in nature and can be applied to other jurisdictions (even if adaptations under local law remain indispensable).,governing law
choice of governing law and dispute resolution.,governing law
From a German legal perspective (which can at least be helpful also for other civil law jurisdictions) the categorization of contract types can help in this regard (Fig. 5.2).,governing law
It supports collaborative governance mechanisms so that the common service and value propositions are achieved while protecting the interests of all actors.,governing law
As innovative business models and digital data-driven services require enhanced data management capabilities the role of data governance is increasingly receiving attention.,governing law
To manage data under consideration of business needs and the existing digital infrastructure data governance being a leadership function of data management acts as an enabler for successfully engaging in a collaborative ecosystem.,governing law
Therefore the management of data related resources by means of decision rights accountabilities roles and ownership makes data governance a fundamental element in the International Data Spaces ecosystem.,governing law
They ensure that relevant guidelines and principles regarding data assets are in place and monitored. However traditional instruments for assigning decision rights and accountabilities in terms of data usually do not reach beyond an organization’s borders. Thus the influence of authority for the individual actor within a data ecosystem might be limited. The IDS-RAM addresses this challenge in a federated manner by distributing decision rights for data governance and management activities to the different roles in the International Data Spaces ecosystem.,governing law
As the International Data Spaces intends to build upon and apply existing law it will not include any purely technology-oriented solutions to prevent data duplication or misuse of data assets.,governing law
The International Data Spaces thereby supports the concrete implementation of applicable law without predefining conditions from a business point of view by providing a technical framework that can be customized to the needs of individual participants.,governing law
Data Owners define attribute-based access control policies for their endpoints. In addition they define the attribute values a subject must attest in order to grant access to the resource.,IDS core participants
A Participant is a legal or natural person assuming a role (or more than one role) in the International Data Spaces. Participants must undergo a formal certification process.,IDS core participants
Core components to be used in the IDS must provide the required functionality and level of security. The certification of core components focuses on interoperability and security while aiming to strengthen the development and maintenance process of these components.,IDS core participants
To build this trust in a structured way the International Data Spaces has established a well-defined process for core component certification. An in-depth description of the certification process and how it applies to the key elements of the IDS architecture can be found in Part 3 of the White Paper Certification. The core component certification criteria catalogue is available for free to all IDSA members.,IDS core participants
Actors in the market can make use of the International Data Spaces standard for providing software services and technology to the market.,IDS core participants
The Business Layer of the Reference Architecture Model defines and categorizes the different roles the participants in the International Data Spaces may assume. Furthermore it specifies basic patterns of interaction taking place between these roles. It thereby contributes to the development of innovative business models and digital data-driven services to be used by the participants in the International Data Spaces.,IDS core participants
Core Participants are involved and required every time data is exchanged in the International Data Spaces. Roles assigned to this category are Data Owner Data Provider Data Consumer Data User and App Provider. The role of a Core Participant can be assumed by any organization that owns wants to provide and/or wants to consume or use data.,IDS core participants
Benefit for participants in the International Data Spaces is created by these roles as they make data available (Data Owner) provide data (Data Provider) or consume/use data (Data Consumer Data User App Provider). In addition Data Providers and Data Consumers may apply business models (including pricing models) as deemed appropriate.,IDS core participants
As the legal situation regarding data ownership is very complicated (as discussed in section 4.3.4) the term ‘Data Owner’ is not used in a legal understanding in this document.,IDS core participants
The Reference Architecture Model takes an operational data management perspective defining a Data Owner as a legal entity or natural person creating data and/or executing control over it. This enables the Data Owner to define Data Usage Policies and provide access to its data.,IDS core participants
TThe Data Provider makes data available for being exchanged between a Data Owner and a Data Consumer. As already mentioned above the Data Provider is in most cases identical with the Data Owner but not necessarily. To submit metadata to a Broker or exchange data with a Data Consumer the Data Provider uses software components that are compliant with the Reference Architecture Model of the International Data Spaces.,IDS core participants
Providing a Data Consumer with data from a Data Owner is the main activity of the Data Provider. To facilitate a data request from a Data Consumer the Data Provider should provide a Broker Service Provider (see below) with proper metadata about the data. However a Broker Service Provider is not necessarily required for a Data Consumer and a Data Provider to establish a connection.,IDS core participants
The Data Consumer receives data from a Data Provider. From a business process modeling perspective the Data Consumer is the mirror entity of the Data Provider; the activities performed by the Data Consumer are therefore similar to the activities performed by the Data Provider.,IDS core participants
Like a Data Provider the Data Consumer may log the details of a successful (or unsuccessful) data exchange transaction at a Clearing House use Data Apps to enrich transform etc. the data received or use a Service Provider to connect to the International Data Spaces (if it does not deploy the technical infrastructure for participation itself).,IDS core participants
Similar to the Data Owner being the legal entity that has the legal control over its data the Data User is the legal entity that has the legal right to use the data of a Data Owner as specified by the usage policy. In most cases the Data User is identical with the Data Consumer. However there may be scenarios in,IDS core participants
which these roles are assumed by different participants. For example a patient could use a web-based software system to manage their personal health data and grant access to this data to a health coach. The data could be received from a hospital. In this case the health coach would be the Data User and the provider of the web-based software system would be the Data Consumer.,IDS core participants
App Providers develop Data Apps to be used in the International Data Spaces. To be deployable a Data App has to be compliant with the system architecture of the International Data Spaces (see Section 3.5). In addition Data Apps can be certified by a Certification Body in order to increase trust in these applications (especially with regard to Data Apps processing sensitive information). Each Data App must be published in the App Store for being accessed and used by Data Consumers and Data Providers. App Providers should describe each Data App using metadata (in compliance with a metadata model) with regard to its semantics functionality interfaces etc.).,IDS core participants
Enforcement of data usage rules on the connector (external criteria): position time legal requirements,policy negotiation
To enforce data usage restrictions a system’s actions need to be monitored and potentially intercepted by control points (i.e. Policy Enforcement Points PEPs). These actions must be judged by a decision engine (i.e. a Policy Decision Point PDP) for requesting permission or denial. In addition to just allowing or denying an action the decision engine may also require modification of the action. A PEP component encapsulates the enforcement.,policy negotiation
Data usage control can be implemented by means of a machine-readable contract which is expected to be fulfilled by a party. It is a way to track and trace data as it is used within different systems and to collect evidence of the violation of agreed usage constraints. With that in mind solutions range from organizational rules or legal contracts to completely technical ways of enforcing usage restrictions. For example an organizational rule (e.g. a company policy) could state that employees must not use removable storage devices such as USB sticks.,policy negotiation
Similarly a technical form of enforcement such as group policies specified by the Windows operating system can prevent employees from using removable storage devices. In some scenarios organizational rules legal contracts and technical rules can be used interchangeably. In other scenarios the three forms can be used to complement each other. In the long run it can be expected that organizational rules and legal contracts will increasingly be replaced by technical forms of enforcement,policy negotiation
The policy decision may also depend on additional information that is not present in the intercepted system action itself. This includes information about the context such as data flows or the geographical location of an entity. It is also possible to specify pre- or post-conditions that have to hold before (e.g. integrity check of the environment) and after (e.g. data item is deleted after usage) decision-making. In addition it is possible to define on-conditions that have to hold during usage (e.g. only during business hours). These conditions usually specify constraints and permissions that have to be fulfilled before during and after using data,policy negotiation
Another important aspect of data usage control is the specification and management of usage restrictions. Data Providers have to express data usage restrictions in a more or less formal way. For technical enforcement the specification must produce a machine-readable output.,policy negotiation
Usage restriction policy information can be attached to the data that is about to be exchanged. This type of policy is called sticky policy45. Following this approach data is encrypted before it is sent to a Data Consumer and it can only be decrypted if the Data Consumer fully and explicitly accepts the usage restrictions specified.,policy negotiation
A usage restriction policy can be stored independently of the data it relates to (for instance in a central component such as a PMP/PRP). In this case the management component has the responsibility to exchange usage restriction information between different systems.,policy negotiation
For example the ODRL Constraint class expresses logical conditions that govern the applicability of a Rule.,policy negotiation
In addition Connectors as Data Providers should provide the technology-dependent policies to the data they provide – for all kinds of systems and enforcement technologies that are part of the ecosystem.,policy negotiation
Publish metadata including usage constraints to Broker,policy negotiation
Monitor policy enforcement,policy negotiation
Manage data quality,policy negotiation
Describe the data source,policy negotiation
Define pricing model and pricing,policy negotiation
Catalogue of rules allowing Data Owners to configure usage conditions related to their own requirements,policy negotiation
safeguarding data subjects’ rights under Art. 15 et. seq. GDPR documentation obligations under Art. 30 GDPR etc.).,policy negotiation
Where the data provider relies on consent he/she will need to provide appropriate consent management tools (including the option to withdraw consent); where he/she relies on legitimate interest he/she will need to safeguard the right of objection.71,policy negotiation
Use data in compliance with usage constraints,policy negotiation
Provide Data Consumer with metadata,policy negotiation
The database rights are limited to rightholders (including enterprises) who are nationals or have their habitual residence in the EU and are construed as a sui generis right giving the investor exclusivity rights for a duration of 15 years.,policy negotiation
It includes that the rightholder may transfer assign or grant usage rights under a contractual license;,policy negotiation
It is important to note that the holder of database rights does not enjoy absolute protection but may only claim a breach of his rights where he has “made available to the public” if a lawful user extracts or re-utilizes other than insubstantial parts of its contents.11,policy negotiation
the data provider does have certain control over the metadata that he/she shares and thus can define or limit the scope of possible conclusions that a data consumer can draw on the data provider’s sensitive business information.,policy negotiation
The benefits of trade secret protection in shared data are obvious as the trade secret owner has actionable rights to request cease and desist against unlawful data usage (i.e. without the trade secret owner’s consent) claim damages against misappropriation of trade secrets etc.17,policy negotiation
Nominate Data Users (if needed),policy negotiation
Receive information about data transaction from Clearing House,policy negotiation
Search for existing datasets by making an inquiry at a Broker Service Provider,policy negotiation
This kind of traceability is similar to the data protection requirements a data controller is confronted with so as to be able to fulfill its data subjects’ right to access.,policy negotiation
It is also closely related to the question of proving compliance with contracts agreements or legal regulations. And data provenance tracking can be used to facilitate clearing in decentralized data ecosystems since it is capable of aggregating information concerning data exchange transactions and data usage.,policy negotiation
By this data provenance tracking maintains a data flow model that keeps track of the particular representations of data items. This kind of information can also be leveraged for data usage control enforcement; i.e. the data flow model is implemented as a Policy Information Point (PIP).,policy negotiation
By creating transparency and offering clearing functionality the International Data Spaces provides a way to track the provenance and lineage of data.,policy negotiation
This is strongly linked to the topics of data ownership and data sovereignty.,policy negotiation
Data provenance tracking can be implemented with local tracking components integrated into IDS Connectors and a centralized provenance storage component attached to the Clearing House (see Chapter 3.1.1) which receives all logs concerning activities performed in the course of a data exchange transaction and requests confirmations of successful data exchange from the Data Provider and the Data Consumer.,policy negotiation
In doing so data provenance is always recursively traceable. In addition provenance information can be integrated into the IDS Vocabulary so as to enable the participants to maintain data provenance as part of the metadata during the process of data exchange.,policy negotiation
A Policy Information Point (PIP) provides missing information for decision-making. In addition such a component can be used to get contextual information for or about the system action intercepted (e.g. data flow information geolocation of the requesting device).,policy enforcement
However while distributed data usage control is concerned with the enforcement of rights and duties when exchanging data across system boundaries the focus of data provenance tracking is on transparency and accountability.,policy enforcement
While a Policy Enforcement Point (PEP) serving for distributed data usage control in most cases needs to be able to proactively intercept data usage actions within the control flow (i.e. preventive enforcement) a PEP for data provenance tracking only needs to passively observe interpret and log data exchange transactions and data usage for retrospective examination (in terms of usage control this kind of enforcement is denoted as “detective enforcement”).,policy enforcement
The operating principle of data provenance tracking is very similar to the operating principle of distributed data usage control. Data provenance tracking relies on passive monitoring technology (e.g. PEPs) which deliver events indicating data usage or data flows for being logged. For this a PEP needs to convey a semantic description of the data usage or data flows its events indicate. The data provenance tracking infrastructure provides a data flow tracking component which understands such semantics specifications. The PEP also needs to forward events together with metadata (including a unique identifier of the data’s content) so that logged transactions can be attributed to data content when data provenance is aggregated or queried.,policy enforcement
The Validator checks if the Configuration Model complies with self-defined rules and with general rules specified by the International Data Spaces respectively. Violation of rules can be treated as warnings or errors. If such warnings or errors occur deployment may fail or be rejected.,policy enforcement
Thus users must be aware that data usage control will only provide certain enforcement guarantees if applied on highly trusted platforms such as Trusted Connectors in the International Data Spaces,policy enforcement
With that in mind solutions range from organizational rules or legal contracts to completely technical ways of enforcing usage restrictions. For example an organizational rule (e.g. a company policy) could state that employees must not use removable storage devices such as USB sticks.,policy enforcement
Enforcement of data usage restrictions can be characterized and implemented in different forms. Organizational rules or legal contracts can be substituted or at least accompanied by technical solutions which introduce a new level of security. Vice versa technical solutions can be accompanied by organizational rules or legal contracts (e.g. to compensate missing capabilities of the technical solution).,policy enforcement
Similarly a technical form of enforcement such as group policies specified by the Windows operating system can prevent employees from using removable storage devices. In some scenarios organizational rules legal contracts and technical rules can be used interchangeably. In other scenarios the three forms can be used to complement each other.,policy enforcement
As the International Data Spaces provides an Information Model (see Section 3.1) additional metadata enhances the data transferred via the route thereby enabling better usage control enforcement. The Connector attaches the metadata to the data package as explained in section 3.4. In addition a PIP is able to resolve more metadata during the decision-making process,policy enforcement
The Connector is the main technical component for implementing usage control. Hence usage control enhanced Connectors such as the Trusted Connector contain relevant components to perform usage control enforcement as Data Consumer (PEPs such as the Apache Camel interceptor; PDPs PMPs).,policy enforcement
The data provenance tracking infrastructure provides a data flow tracking component which understands such semantics specifications. The PEP also needs to forward events together with metadata (including a unique identifier of the data’s content) so that logged transactions can be attributed to data content when data provenance is aggregated or queried.,policy enforcement
enforcement) a PEP for data provenance tracking only needs to passively observe interpret and log data exchange transactions and data usage for retrospective examination (in terms of usage control this kind of enforcement is denoted as “detective enforcement”).,policy enforcement
Data provenance tracking is closely related but also complementary to distributed data usage control. It has its origins in the domain of scientific computing where it was introduced to trace the lineage of data. Data provenance tracking thereby allows finding out when how and by whom data was modified and which other,policy enforcement
By means of Data Provenance Tracking (as described in the next section) it is possible to track the usage of data and the enforcement of usage restrictions. The Clearing House is able to use this data later on.,policy enforcement
By nature of how the formation and interpretation of contracts work it is not a trivial task and hence important to manage expectations what semi-automated contracting and contract enforcement can achieve.5,policy enforcement
By putting sample contracts at the disposal of all participants of the ecosystem IDS gives orientation as well as the freedom to create contracts of their own that data providers data brokers and data consumers and any other participants can construe and implement their models for sharing data through licensing agreements of all sorts and kinds without being prescriptive as to the kind and nature of the contractual relations.2,policy negotiation
These Terms of Use are designed to ensure a reasonable balance between the interest of the platform operator and the users (data providers and data consumers) in order to facilitate data transactions and/or operational processes (such as performance of a logistics order and performance process) on the platform.,policy negotiation
Policy negotiation is also part of policy management. As enforcement mechanisms can work differently across different systems or technologies abstract policies may have different instantiations. Hence usage policies must always be instantiated on the target system.,policy negotiation
Again and as stated above the intention of providing template agreements is not about being prescriptive but rather to endorse the overarching principle of freedom of contract whereas trying to reduce the transactional costs of setting up and negotiating suitable contracts for data licensing.89,policy negotiation
Extending the Open Digital Rights Language (ODRL)46 a W3C standard the Information Model’s Usage Control module provides machine-readable specifications of usage control policies (see section 3.4.4.1.1). These specify actions that a party is prohibited or permitted to do with regard to given a data asset. In addition they codify any potentially involved duties. Despite a simple core model which is depicted in Figure 416 ODRL policies are a formal,policy negotiation
What is known about the respective counterpart of the intended data exchange transaction?,policy negotiation
“Compliance / Data Sovereignty” specifies rules to be checked by the Validator before Connector deployment. If warnings or errors occur deployment may be canceled. This feature is used to prevent,policy negotiation
The Information Layer provides the means for Participants to use a common vocabulary and common semantics to express concepts and relationships between them. In doing so it is possible to specify access and usage control policies in a way that these are understood by all Participants. The same is true for access control requirements defining minimum security profiles which must be met before access is granted.,policy negotiation
facilitating negotiation of agreements and contracts;,policy negotiation
The International Data Spaces neither makes any statements on legal perspectives nor does it restrict participants to any predefined patterns. Instead it offers the possibility to design digital business models individually and as deemed appropriate. 4.3.3 DATA AS AN ECONOMIC GOOD In the material world the difference between the terms “possession” and “property” is an abstract yet necessary construct. It is accepted that moving a good from one place to another and changing possession of the good does not necessarily have an impact on the property rights. Regarding the specific concept of the International Data Spaces it is necessary to take into account that the Data Owner and Data Provider may not be identical (see Chapter 3.1.1). PERSPECTIVES OF THE REFERENCE ARCHITECTURE MODEL // 4.3 1 53 Regulation (EU) 2018/1807 of the European Parliament and of the Council of 14 November 2018 on a framework for the free flow of non-personal data in the European Union From a legal perspective there is no ownership regarding data as data is an intangible good. With the “Free Flow of Data” Regulation53 the European Commission supports data exchange and data sharing across borders in the means of technical hurdles. The IDS approach supports the implementation of the regulation for non-personal data. At the same time the democratization of data is not the aim of the IDS concept as data ownership is an important aspect when it comes to offering data and negotiating contracts in digital business ecosystems especially because data can easily be duplicated. The International Data Spaces makes sure the need of a Data Provider or a Data Producer is comprehensively addressed by providing a secure and trusted platform for authorization and authentication within a decentralized architecture. This allows Data Providers as well as Service Providers to be identified and controlled by an Identity Provider (see Chapter 3.1.1). Decentralized data exchange by means of Connectors in contrast to other architectures of data networks (e.g. data lakes or cloud services) ensures full data sovereignty. In addition to these self-control mechanisms the architecture allows logging of data transfer information at a Clearing House (see Chapter 3.2.5). As the need for Data Sovereignty is obvious but the term of ownership is not defined for data the term “Data Sovereign” indicates the rights duties and responsibilities for this role. The term and the role of the Data Owner is defined for this document,policy negotiation
The Parties involved in a data exchange transaction (i.e. the Data Owner/Provider and the Data Consumer or their representative agents) are referred to by their respective roles assigner and assignee.,IDS core participants
The Community of trust concern considers the fundamental requirement of the International Data Spaces for exchanging and sharing Resources between a Data Provider and a Data Consumer in a secure and trusted way while preserving the data sovereignty of the Data Owner.,IDS core participants
The main goal is to enable participants to leverage the potential of their data within a secure and trusted business ecosystem. The International Data Spaces thereby covers the information system perspective and provides the components that enable participants to define individual business cases.,IDS core participants
At the same time the democratization of data is not the aim of the IDS concept as data ownership is an important aspect when it comes to offering data and negotiating contracts in digital business ecosystems especially because data can easily be duplicated.,IDS core participants
Which platform a data owner or data provider will choose to take advantage of will depend on the business criticality and the economic value of the data goods they want to exchange and share. As the data resource of a company consists of data of different criticality and value it can be expected that many companies will use different platforms for different purposes.,IDS core participants
